case_number,requirement_id,title,precondition,steps,expected_result,evidence_requirements,priority,automation_decision
TC-V1-020,REQ-V1-020,提示反馈场景20,确认设备处于可测试状态,执行合成场景 20,设备返回与提示反馈规则一致,状态和输出可追踪,P1,保留人工执行
TC-V1-021,REQ-V1-021,异常恢复场景21,确认设备处于可测试状态,执行合成场景 21,设备返回与异常恢复规则一致,状态和输出可追踪,P1,优先自动化
TC-V1-022,REQ-V1-022,数据输出场景22,确认设备处于可测试状态,执行合成场景 22,设备返回与数据输出规则一致,状态和输出可追踪,P1,适合自动化
TC-V1-023,REQ-V1-023,同步场景23,确认设备处于可测试状态,执行合成场景 23,设备返回与同步规则一致,状态和输出可追踪,P1,条件满足后自动化
TC-V1-024,REQ-V1-024,升级回滚场景24,确认设备处于可测试状态,执行合成场景 24,设备返回与升级回滚规则一致,状态和输出可追踪,P1,保留人工执行
TC-V1-025,REQ-V1-025,生命周期场景25,确认设备处于可测试状态,执行合成场景 25,设备返回与生命周期规则一致,状态和输出可追踪,P1,优先自动化
TC-V1-026,REQ-V1-026,采集任务场景26,确认设备处于可测试状态,执行合成场景 26,设备返回与采集任务规则一致,状态和输出可追踪,P1,适合自动化
TC-V1-027,REQ-V1-027,配置场景27,确认设备处于可测试状态,执行合成场景 27,设备返回与配置规则一致,状态和输出可追踪,P1,条件满足后自动化
TC-V1-028,REQ-V1-028,状态流转场景28,确认设备处于可测试状态,执行合成场景 28,设备返回与状态流转规则一致,状态和输出可追踪,P1,保留人工执行
TC-V1-029,REQ-V1-029,存储场景29,确认设备处于可测试状态,执行合成场景 29,设备返回与存储规则一致,状态和输出可追踪,P1,优先自动化
TC-V1-030,REQ-V1-030,连接场景30,确认设备处于可测试状态,执行合成场景 30,设备返回与连接规则一致,状态和输出可追踪,P1,适合自动化
TC-V1-031,REQ-V1-031,控制页面场景31,确认设备处于可测试状态,执行合成场景 31,设备返回与控制页面规则一致,状态和输出可追踪,P1,条件满足后自动化
TC-V1-032,REQ-V1-032,提示反馈场景32,确认设备处于可测试状态,执行合成场景 32,设备返回与提示反馈规则一致,状态和输出可追踪,P1,保留人工执行
TC-V1-033,REQ-V1-033,异常恢复场景33,确认设备处于可测试状态,执行合成场景 33,设备返回与异常恢复规则一致,状态和输出可追踪,P1,优先自动化
TC-V1-034,REQ-V1-034,数据输出场景34,确认设备处于可测试状态,执行合成场景 34,设备返回与数据输出规则一致,状态和输出可追踪,P1,适合自动化
TC-V1-035,REQ-V1-035,同步场景35,确认设备处于可测试状态,执行合成场景 35,设备返回与同步规则一致,状态和输出可追踪,P1,条件满足后自动化
TC-V1-036,REQ-V1-036,升级回滚场景36,确认设备处于可测试状态,执行合成场景 36,设备返回与升级回滚规则一致,状态和输出可追踪,P1,保留人工执行
TC-V1-037,REQ-V1-001,生命周期场景37,确认设备处于可测试状态,执行合成场景 37,设备返回与生命周期规则一致,状态和输出可追踪,P1,优先自动化
TC-V1-038,REQ-V1-002,采集任务场景38,确认设备处于可测试状态,执行合成场景 38,设备返回与采集任务规则一致,状态和输出可追踪,P1,适合自动化
TC-V1-039,REQ-V1-003,配置场景39,确认设备处于可测试状态,执行合成场景 39,设备返回与配置规则一致,状态和输出可追踪,P1,条件满足后自动化
TC-V1-040,REQ-V1-004,状态流转场景40,确认设备处于可测试状态,执行合成场景 40,设备返回与状态流转规则一致,状态和输出可追踪,P1,保留人工执行
TC-V1-041,REQ-V1-005,存储场景41,确认设备处于可测试状态,执行合成场景 41,设备返回与存储规则一致,状态和输出可追踪,P1,优先自动化
TC-V1-042,REQ-V1-006,连接场景42,确认设备处于可测试状态,执行合成场景 42,设备返回与连接规则一致,状态和输出可追踪,P1,适合自动化
TC-V1-043,REQ-V1-007,控制页面场景43,确认设备处于可测试状态,执行合成场景 43,设备返回与控制页面规则一致,状态和输出可追踪,P2,条件满足后自动化
TC-V1-044,REQ-V1-008,提示反馈场景44,确认设备处于可测试状态,执行合成场景 44,设备返回与提示反馈规则一致,状态和输出可追踪,P2,保留人工执行
TC-V1-045,REQ-V1-009,异常恢复场景45,确认设备处于可测试状态,执行合成场景 45,设备返回与异常恢复规则一致,状态和输出可追踪,P2,优先自动化
TC-V1-046,REQ-V1-010,数据输出场景46,确认设备处于可测试状态,执行合成场景 46,设备返回与数据输出规则一致,状态和输出可追踪,P2,适合自动化
TC-V1-047,REQ-V1-011,同步场景47,确认设备处于可测试状态,执行合成场景 47,设备返回与同步规则一致,状态和输出可追踪,P2,条件满足后自动化
TC-V1-048,REQ-V1-012,升级回滚场景48,确认设备处于可测试状态,执行合成场景 48,设备返回与升级回滚规则一致,状态和输出可追踪,P2,保留人工执行
TC-V1-049,REQ-V1-013,生命周期场景49,确认设备处于可测试状态,执行合成场景 49,设备返回与生命周期规则一致,状态和输出可追踪,P2,优先自动化
TC-V1-050,REQ-V1-014,采集任务场景50,确认设备处于可测试状态,执行合成场景 50,设备返回与采集任务规则一致,状态和输出可追踪,P2,适合自动化
TC-V1-051,REQ-V1-015,配置场景51,确认设备处于可测试状态,执行合成场景 51,设备返回与配置规则一致,状态和输出可追踪,P2,条件满足后自动化
TC-V1-052,REQ-V1-016,状态流转场景52,确认设备处于可测试状态,执行合成场景 52,设备返回与状态流转规则一致,状态和输出可追踪,P2,保留人工执行
TC-V1-053,REQ-V1-017,存储场景53,确认设备处于可测试状态,执行合成场景 53,设备返回与存储规则一致,状态和输出可追踪,P2,优先自动化
TC-V1-054,REQ-V1-018,连接场景54,确认设备处于可测试状态,执行合成场景 54,设备返回与连接规则一致,状态和输出可追踪,P2,适合自动化
TC-V1-055,REQ-V1-019,控制页面场景55,确认设备处于可测试状态,执行合成场景 55,设备返回与控制页面规则一致,状态和输出可追踪,P2,条件满足后自动化
TC-V1-056,REQ-V1-020,提示反馈场景56,确认设备处于可测试状态,执行合成场景 56,设备返回与提示反馈规则一致,状态和输出可追踪,P2,保留人工执行
TC-V1-057,REQ-V1-021,异常恢复场景57,确认设备处于可测试状态,执行合成场景 57,设备返回与异常恢复规则一致,状态和输出可追踪,P2,优先自动化
TC-V1-058,REQ-V1-022,数据输出场景58,确认设备处于可测试状态,执行合成场景 58,设备返回与数据输出规则一致,状态和输出可追踪,P2,适合自动化
TC-V1-059,REQ-V1-023,同步场景59,确认设备处于可测试状态,执行合成场景 59,设备返回与同步规则一致,状态和输出可追踪,P2,条件满足后自动化
TC-V1-060,REQ-V1-024,升级回滚场景60,确认设备处于可测试状态,执行合成场景 60,设备返回与升级回滚规则一致,状态和输出可追踪,P2,保留人工执行
TC-V1-061,REQ-V1-025,生命周期场景61,确认设备处于可测试状态,执行合成场景 61,设备返回与生命周期规则一致,状态和输出可追踪,P2,优先自动化
TC-V1-062,REQ-V1-026,采集任务场景62,确认设备处于可测试状态,执行合成场景 62,设备返回与采集任务规则一致,状态和输出可追踪,P2,适合自动化
TC-V1-063,REQ-V1-027,配置场景63,确认设备处于可测试状态,执行合成场景 63,设备返回与配置规则一致,状态和输出可追踪,P2,条件满足后自动化
TC-V1-064,REQ-V1-028,状态流转场景64,确认设备处于可测试状态,执行合成场景 64,设备返回与状态流转规则一致,状态和输出可追踪,P2,保留人工执行
TC-V1-065,REQ-V1-029,存储场景65,确认设备处于可测试状态,执行合成场景 65,设备返回与存储规则一致,状态和输出可追踪,P2,优先自动化
TC-V1-066,REQ-V1-030,连接场景66,确认设备处于可测试状态,执行合成场景 66,设备返回与连接规则一致,状态和输出可追踪,P2,适合自动化
TC-V1-067,REQ-V1-031,控制页面场景67,确认设备处于可测试状态,执行合成场景 67,设备返回与控制页面规则一致,状态和输出可追踪,P2,条件满足后自动化
TC-V1-068,REQ-V1-032,提示反馈场景68,确认设备处于可测试状态,执行合成场景 68,设备返回与提示反馈规则一致,状态和输出可追踪,P2,保留人工执行
TC-V1-069,REQ-V1-033,异常恢复场景69,确认设备处于可测试状态,执行合成场景 69,设备返回与异常恢复规则一致,状态和输出可追踪,P2,优先自动化
TC-V1-070,REQ-V1-034,数据输出场景70,确认设备处于可测试状态,执行合成场景 70,设备返回与数据输出规则一致,状态和输出可追踪,P2,适合自动化
TC-V1-071,REQ-V1-035,同步场景71,确认设备处于可测试状态,执行合成场景 71,设备返回与同步规则一致,状态和输出可追踪,P2,条件满足后自动化
TC-V1-072,REQ-V1-036,升级回滚场景72,确认设备处于可测试状态,执行合成场景 72,设备返回与升级回滚规则一致,状态和输出可追踪,P2,保留人工执行
TC-V1-073,REQ-V1-001,生命周期场景73,确认设备处于可测试状态,执行合成场景 73,设备返回与生命周期规则一致,状态和输出可追踪,P2,优先自动化
TC-V1-074,REQ-V1-002,采集任务场景74,确认设备处于可测试状态,执行合成场景 74,设备返回与采集任务规则一致,状态和输出可追踪,P2,适合自动化
TC-V1-075,REQ-V1-003,配置场景75,确认设备处于可测试状态,执行合成场景 75,设备返回与配置规则一致,状态和输出可追踪,P2,条件满足后自动化
TC-V1-076,REQ-V1-004,状态流转场景76,确认设备处于可测试状态,执行合成场景 76,设备返回与状态流转规则一致,状态和输出可追踪,P2,保留人工执行
TC-V1-077,REQ-V1-005,存储场景77,确认设备处于可测试状态,执行合成场景 77,设备返回与存储规则一致,状态和输出可追踪,P2,优先自动化
TC-V1-078,REQ-V1-006,连接场景78,确认设备处于可测试状态,执行合成场景 78,设备返回与连接规则一致,状态和输出可追踪,P2,适合自动化
TC-V1-079,REQ-V1-007,控制页面场景79,确认设备处于可测试状态,执行合成场景 79,设备返回与控制页面规则一致,状态和输出可追踪,P3,条件满足后自动化
TC-V1-080,REQ-V1-008,提示反馈场景80,确认设备处于可测试状态,执行合成场景 80,设备返回与提示反馈规则一致,状态和输出可追踪,P3,保留人工执行
TC-V1-081,REQ-V1-009,异常恢复场景81,确认设备处于可测试状态,执行合成场景 81,设备返回与异常恢复规则一致,状态和输出可追踪,P3,优先自动化
TC-V1-082,REQ-V1-010,数据输出场景82,确认设备处于可测试状态,执行合成场景 82,设备返回与数据输出规则一致,状态和输出可追踪,P3,适合自动化
TC-V1-083,REQ-V1-011,同步场景83,确认设备处于可测试状态,执行合成场景 83,设备返回与同步规则一致,状态和输出可追踪,P3,条件满足后自动化
TC-V1-084,REQ-V1-012,升级回滚场景84,确认设备处于可测试状态,执行合成场景 84,设备返回与升级回滚规则一致,状态和输出可追踪,P3,保留人工执行
TC-V1-085,REQ-V1-013,生命周期场景85,确认设备处于可测试状态,执行合成场景 85,设备返回与生命周期规则一致,状态和输出可追踪,P3,优先自动化
TC-V1-086,REQ-V1-014,采集任务场景86,确认设备处于可测试状态,执行合成场景 86,设备返回与采集任务规则一致,状态和输出可追踪,P3,适合自动化
TC-V1-087,REQ-V1-015,配置场景87,确认设备处于可测试状态,执行合成场景 87,设备返回与配置规则一致,状态和输出可追踪,P3,条件满足后自动化
TC-V1-088,REQ-V1-016,状态流转场景88,确认设备处于可测试状态,执行合成场景 88,设备返回与状态流转规则一致,状态和输出可追踪,P3,保留人工执行
TC-V1-089,REQ-V1-017,存储场景89,确认设备处于可测试状态,执行合成场景 89,设备返回与存储规则一致,状态和输出可追踪,P3,优先自动化
TC-V1-090,REQ-V1-018,连接场景90,确认设备处于可测试状态,执行合成场景 90,设备返回与连接规则一致,状态和输出可追踪,P3,适合自动化
TC-V1-091,REQ-V1-019,控制页面场景91,确认设备处于可测试状态,执行合成场景 91,设备返回与控制页面规则一致,状态和输出可追踪,P3,条件满足后自动化
TC-V1-092,REQ-V1-020,提示反馈场景92,确认设备处于可测试状态,执行合成场景 92,设备返回与提示反馈规则一致,状态和输出可追踪,P3,保留人工执行
TC-V1-093,REQ-V1-021,异常恢复场景93,确认设备处于可测试状态,执行合成场景 93,设备返回与异常恢复规则一致,状态和输出可追踪,P3,优先自动化
TC-V1-094,REQ-V1-022,数据输出场景94,确认设备处于可测试状态,执行合成场景 94,设备返回与数据输出规则一致,状态和输出可追踪,P3,适合自动化
TC-V1-095,REQ-V1-023,同步场景95,确认设备处于可测试状态,执行合成场景 95,设备返回与同步规则一致,状态和输出可追踪,P3,条件满足后自动化
TC-V1-096,REQ-V1-024,升级回滚场景96,确认设备处于可测试状态,执行合成场景 96,设备返回与升级回滚规则一致,状态和输出可追踪,P3,保留人工执行
